NAME,Sample,Time,Flow,Temperature,Treatment,FlumeID,Run,Year,Succession,TAD,Primers,Type,ChlA,BA,pH,C25,O2,Temp,Turbidity,pCO2,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Sulfate,Lithium,Sodium,Ammonium,Magnesium,Potassium,Calcium,Strontium,PO4,NH4,NO3,NO2,DOC,Velocity
R1046.16S_R1046.16S_N729.N508,Ic102021,10,Intermittent,control,Ic,16,26,2021,44,10,16S,Biofilm ,0.467777167,5131902.36,8.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
X78A_78A_NSE727.NSE508,Ic102022,10,Intermittent,control,Ic,16,37,2022,40,3,16S,Biofilm ,0.490319667,13299494.95,8.378,358,9.12,10.9,75.7,448,11.5,308.5,19.5,2.5,311,78245,10.5,1314.5,8,8235,510,60825.5,682,NA,NA,NA,NA,154.7,0.092856201
X78B_78B_NSE727.NSE508,Ic102022,10,Intermittent,control,Ic,17,39,2022,40,3,16S,Biofilm ,0.5450355,13520202.02,8.378,358,9.12,10.9,75.7,448,11.5,308.5,19.5,2.5,311,78245,10.5,1314.5,8,8235,510,60825.5,682,NA,NA,NA,NA,154.7,0.092856201
X78C_78C_NSE727.NSE520,Ic102022,10,Intermittent,control,Ic,18,41,2022,40,3,16S,Biofilm ,0.205980778,11047258.3,8.378,358,9.12,10.9,75.7,448,11.5,308.5,19.5,2.5,311,78245,10.5,1314.5,8,8235,510,60825.5,682,NA,NA,NA,NA,154.7,0.092856201
A86_A86_N721.N508,Ic112021,11,Intermittent,control,Ic,16,27,2021,49,15,16S,Biofilm ,0.605254667,5638238.55,NA,368,10.17,6,11.6,NA,0.011,0.2545,0.0015,0.002,0.299,81.817,NA,1.142,0.0055,8.468,0.252,62.335,0.728,NA,NA,NA,NA,134.33,
B83_B83_N719.N505,Ic112021,11,Intermittent,control,Ic,17,29,2021,49,15,16S,Biofilm ,0.497992583,20335084.29,NA,388,9.98,7,11.2,NA,0.012,0.3225,0.002,0.0015,0.2865,89.1905,NA,1.286,NA,9.005,0.2665,67,0.778,NA,NA,NA,NA,127.33,
C83_C83_N715.N505,Ic112021,11,Intermittent,control,Ic,18,29,2021,49,15,16S,Biofilm ,0.553343417,18493388.22,NA,399,10.38,4.9,7.2,NA,0.015,0.3885,0.001,0.002,0.3425,91.118,NA,1.37,0.0155,9.1815,0.3165,67.9435,0.8155,NA,NA,NA,NA,148,
X86A_86A_NSE728.NSE508,Ic112022,11,Intermittent,control,Ic,16,37,2022,42,5,16S,Biofilm ,0.459592722,27751515.15,8.355,367,9.69,8.5,47.5,432,11,314,3.5,2,328,78621.5,12,1262,17,8367.5,268.5,57032.5,659.5,NA,NA,NA,NA,128.7,0.102268439
X86B_86B_NSE728.NSE508,Ic112022,11,Intermittent,control,Ic,17,39,2022,42,5,16S,Biofilm ,0.246056333,19775649.35,8.355,367,9.69,8.5,47.5,432,11,314,3.5,2,328,78621.5,12,1262,17,8367.5,268.5,57032.5,659.5,NA,NA,NA,NA,128.7,0.102268439
X86C_86C_NSE728.NSE520,Ic112022,11,Intermittent,control,Ic,18,41,2022,42,5,16S,Biofilm ,0.140011333,17794660.89,8.355,367,9.69,8.5,47.5,432,11,314,3.5,2,328,78621.5,12,1262,17,8367.5,268.5,57032.5,659.5,NA,NA,NA,NA,128.7,0.102268439
A6_A6_N716.N508,Ic12021,1,Intermittent,control,Ic,16,27,2021,4,NA,16S,Biofilm ,0.0224305,650098.48,8.507,368,10.09,7.6,13.8,NA,0.011,0.257,0.0015,0.0025,0.2985,81.9025,NA,1.155,NA,8.5185,0.2525,62.7055,0.711,NA,NA,NA,NA,150,
B6_B6_N722.N508,Ic12021,1,Intermittent,control,Ic,17,27,2021,4,NA,16S,Biofilm ,0.026981333,1050637.654,8.507,387,10.44,5.6,13,NA,0.012,0.2965,0.003,0.0005,0.3085,88.4805,NA,1.2605,0.005,8.9275,0.273,66.2205,0.7915,NA,NA,NA,NA,123.33,
C14_C14_N724.N508,Ic12021,1,Intermittent,control,Ic,18,28,2021,4,NA,16S,Biofilm ,0.019202583,1272003.14,8.507,382,NA,9.6,49.2,NA,0.012,0.329,0.001,0.002,0.3315,85.922,NA,1.3095,0.021,8.6545,0.2995,64.7615,0.769,NA,NA,NA,NA,143.67,
X6A_6A_NSE716.NSE508,Ic12022,1,Intermittent,control,Ic,16,37,2022,5,NA,16S,Biofilm ,0.065539944,2104473.304,8.323,288,9.71,8.4,13.46,562,10.5,188.5,6,2,332.5,53255,8,944,10.5,6392.5,221,49802.5,543.5,3.54,9.57,424.89,1.11,NA,0.188132212
X6B_6B_NSE716.NSE508,Ic12022,1,Intermittent,control,Ic,17,39,2022,5,NA,16S,Biofilm ,0.055662167,2014285.714,8.323,288,9.71,8.4,13.46,562,10.5,188.5,6,2,332.5,53255,8,944,10.5,6392.5,221,49802.5,543.5,3.54,9.57,424.89,1.11,NA,0.188132212
X6C_6C_NSE716.NSE520,Ic12022,1,Intermittent,control,Ic,18,41,2022,5,NA,16S,Biofilm ,0.037776333,1251298.701,8.323,288,9.71,8.4,13.46,562,10.5,188.5,6,2,332.5,53255,8,944,10.5,6392.5,221,49802.5,543.5,3.54,9.57,424.89,1.11,NA,0.188132212
X94A_94A_NSE716.NSE508,Ic122022,12,Intermittent,control,Ic,16,38,2022,47,10,16S,Biofilm ,0.504042722,22287445.89,8.401,375,9.51,8.5,53.8,443,12,342,6,3,320.5,81717.5,10.5,1313,16,8721,298,63165.5,741,7.55,11.82,361.18,2.23,108.7,0.095817711
X94B_94B_NSE716.NSE508,Ic122022,12,Intermittent,control,Ic,17,40,2022,47,10,16S,Biofilm ,0.359298,28714502.16,8.401,375,9.51,8.5,53.8,443,12,342,6,3,320.5,81717.5,10.5,1313,16,8721,298,63165.5,741,7.55,11.82,361.18,2.23,108.7,0.095817711
X94C_94C_NSE716.NSE520,Ic122022,12,Intermittent,control,Ic,18,42,2022,47,10,16S,Biofilm ,3.288376611,29181818.18,8.401,375,9.51,8.5,53.8,443,12,342,6,3,320.5,81717.5,10.5,1313,16,8721,298,63165.5,741,7.55,11.82,361.18,2.23,108.7,0.095817711
X102A_102A_NSE718.NSE508,Ic132022,13,Intermittent,control,Ic,16,38,2022,54,17,16S,Biofilm ,0.493212444,40195598.85,8.454,377,9.52,8.5,84.2,456,12,378,0,3,316.5,83712.5,8.5,1382,9,8745,245.5,63901,783.5,NA,NA,NA,NA,158.3,0.13977079
X102B_102B_NSE718.NSE508,Ic132022,13,Intermittent,control,Ic,17,40,2022,54,17,16S,Biofilm ,0.625398278,38473593.07,8.454,377,9.52,8.5,84.2,456,12,378,0,3,316.5,83712.5,8.5,1382,9,8745,245.5,63901,783.5,NA,NA,NA,NA,158.3,0.13977079
X102C_102C_NSE718.NSE520,Ic132022,13,Intermittent,control,Ic,18,42,2022,54,17,16S,Biofilm ,0.399126611,29410606.06,8.454,377,9.52,8.5,84.2,456,12,378,0,3,316.5,83712.5,8.5,1382,9,8745,245.5,63901,783.5,NA,NA,NA,NA,158.3,0.13977079
X110A_110A_NSE719.NSE508,Ic142022,14,Intermittent,control,Ic,16,38,2022,61,24,16S,Biofilm ,0.930092444,46621861.47,8.39,373,9.42,9.6,82.1,581,12.5,409.5,7.5,3,343,82922,12,1395.5,18.5,8698,385,63430.5,748.5,NA,NA,NA,NA,204.7,0.241338834
X110B_110B_NSE719.NSE508,Ic142022,14,Intermittent,control,Ic,17,40,2022,61,24,16S,Biofilm ,0.648011333,41546536.8,8.39,373,9.42,9.6,82.1,581,12.5,409.5,7.5,3,343,82922,12,1395.5,18.5,8698,385,63430.5,748.5,NA,NA,NA,NA,204.7,0.241338834
X110C_110C_NSE719.NSE520,Ic142022,14,Intermittent,control,Ic,18,42,2022,61,24,16S,Biofilm ,0.6256805,21208766.23,8.39,373,9.42,9.6,82.1,581,12.5,409.5,7.5,3,343,82922,12,1395.5,18.5,8698,385,63430.5,748.5,NA,NA,NA,NA,204.7,0.241338834
X118A_118A_NSE720.NSE508,Ic152022,15,Intermittent,control,Ic,16,38,2022,67,30,16S,Biofilm ,1.043722167,45780591.63,8.475,399,8.92,11.2,35.3,417,12,433.5,0.5,4,301.5,88450.5,13,1494,20.5,9294.5,321,64254.5,754,NA,NA,NA,NA,NA,0.405230157
X118B_118B_NSE720.NSE508,Ic152022,15,Intermittent,control,Ic,17,40,2022,67,30,16S,Biofilm ,1.180141333,34485353.54,8.475,399,8.92,11.2,35.3,417,12,433.5,0.5,4,301.5,88450.5,13,1494,20.5,9294.5,321,64254.5,754,NA,NA,NA,NA,NA,0.405230157
X118C_118C_NSE720.NSE520,Ic152022,15,Intermittent,control,Ic,18,42,2022,67,30,16S,Biofilm ,1.332153278,25657034.63,8.475,399,8.92,11.2,35.3,417,12,433.5,0.5,4,301.5,88450.5,13,1494,20.5,9294.5,321,64254.5,754,NA,NA,NA,NA,NA,0.405230157
X126A_126A_NSE721.NSE508,Ic162022,16,Intermittent,control,Ic,16,38,2022,75,38,16S,Biofilm ,0.767814667,52902673.56,8.375,400,9.34,7.9,33,453,13,477,3.5,2,349,92114.5,10.5,1562.5,12.5,9475,393,68213,786.5,NA,NA,NA,NA,NA,0.381621834
X126B_126B_NSE721.NSE508,Ic162022,16,Intermittent,control,Ic,17,40,2022,75,38,16S,Biofilm ,0.764604389,25818578.64,8.375,400,9.34,7.9,33,453,13,477,3.5,2,349,92114.5,10.5,1562.5,12.5,9475,393,68213,786.5,NA,NA,NA,NA,NA,0.381621834
X126C_126C_NSE721.NSE520,Ic162022,16,Intermittent,control,Ic,18,42,2022,75,38,16S,Biofilm ,1.664434667,57289434.02,8.375,400,9.34,7.9,33,453,13,477,3.5,2,349,92114.5,10.5,1562.5,12.5,9475,393,68213,786.5,NA,NA,NA,NA,NA,0.381621834
X134A_134A_NSE722.NSE508,Ic172022,17,Intermittent,control,Ic,16,38,2022,82,45,16S,Biofilm ,0.912912167,32200144.3,8.384,399,9.21,8.9,101,459,13.5,484.5,8.5,3.5,340.5,91920,12.5,1555.5,17,9345.5,329.5,67061.5,778,NA,NA,NA,NA,124.3,0.334728011
X134B_134B_NSE722.NSE508,Ic172022,17,Intermittent,control,Ic,17,40,2022,82,45,16S,Biofilm ,0.645823547,24012337.66,8.384,399,9.21,8.9,101,459,13.5,484.5,8.5,3.5,340.5,91920,12.5,1555.5,17,9345.5,329.5,67061.5,778,NA,NA,NA,NA,124.3,0.334728011
X134C_134C_NSE722.NSE520,Ic172022,17,Intermittent,control,Ic,18,42,2022,82,45,16S,Biofilm ,0.811128722,31059523.81,8.384,399,9.21,8.9,101,459,13.5,484.5,8.5,3.5,340.5,91920,12.5,1555.5,17,9345.5,329.5,67061.5,778,NA,NA,NA,NA,124.3,0.334728011
X142A_142A_NSE723.NSE508,Ic182022,18,Intermittent,control,Ic,16,38,2022,87,1,16S,Biofilm ,0.895590778,27957431.46,8.431,406,9.73,8.3,42.7,452,13.5,531.5,6,2,356.5,92937.5,12,1609,10,9371,340.5,66991.5,739,5.13,15.39,383.04,1.84,131.3,0.208400939
X142B_142B_NSE723.NSE508,Ic182022,18,Intermittent,control,Ic,17,40,2022,87,1,16S,Biofilm ,1.610389111,35900216.45,8.431,406,9.73,8.3,42.7,452,13.5,531.5,6,2,356.5,92937.5,12,1609,10,9371,340.5,66991.5,739,5.13,15.39,383.04,1.84,131.3,0.208400939
X142C_142C_NSE723.NSE520,Ic182022,18,Intermittent,control,Ic,18,42,2022,87,1,16S,Biofilm ,0.987136611,38122655.12,8.431,406,9.73,8.3,42.7,452,13.5,531.5,6,2,356.5,92937.5,12,1609,10,9371,340.5,66991.5,739,5.13,15.39,383.04,1.84,131.3,0.208400939
X150A_150A_NSE724.NSE508,Ic192022,19,Intermittent,control,Ic,16,38,2022,89,3,16S,Biofilm ,1.452238833,46789466.09,7.851,399,9.55,8.7,58.5,483,13,529,3,3,315.5,91330.5,13.5,1597,10.5,9289.5,342,66266.5,775,NA,NA,NA,NA,139,0.209073594
X150B_150B_NSE724.NSE508,Ic192022,19,Intermittent,control,Ic,17,40,2022,89,3,16S,Biofilm ,0.9215905,47898412.7,7.851,399,9.55,8.7,58.5,483,13,529,3,3,315.5,91330.5,13.5,1597,10.5,9289.5,342,66266.5,775,NA,NA,NA,NA,139,0.209073594
X150C_150C_NSE724.NSE520,Ic192022,19,Intermittent,control,Ic,18,42,2022,89,3,16S,Biofilm ,1.117699667,29927633.48,7.851,399,9.55,8.7,58.5,483,13,529,3,3,315.5,91330.5,13.5,1597,10.5,9289.5,342,66266.5,775,NA,NA,NA,NA,139,0.209073594
X158A_158A_NSE726.NSE508,Ic202022,20,Intermittent,control,Ic,16,38,2022,91,5,16S,Biofilm ,0.957820778,50089249.64,8.444,414,10.14,6.2,53.1,428,13,544.5,0,3,342.5,94724,11.5,1656.5,7.5,9762,358.5,69092,807.5,NA,NA,NA,NA,181.3,0.174584888
X158B_158B_NSE726.NSE508,Ic202022,20,Intermittent,control,Ic,17,40,2022,91,5,16S,Biofilm ,1.484659111,58815367.97,8.444,414,10.14,6.2,53.1,428,13,544.5,0,3,342.5,94724,11.5,1656.5,7.5,9762,358.5,69092,807.5,NA,NA,NA,NA,181.3,0.174584888
X158C_158C_NSE726.NSE520,Ic202022,20,Intermittent,control,Ic,18,42,2022,91,5,16S,Biofilm ,0.861406611,25223160.17,8.444,414,10.14,6.2,53.1,428,13,544.5,0,3,342.5,94724,11.5,1656.5,7.5,9762,358.5,69092,807.5,NA,NA,NA,NA,181.3,0.174584888
X166A_166A_NSE727.NSE508,Ic212022,21,Intermittent,control,Ic,16,38,2022,96,10,16S,Biofilm ,0.720648278,52903318.9,8.314,396,9.48,9.3,133.7,497,15,580,4,3.5,338,91532,12.5,1622,38.5,9393,397,66062,798.5,NA,NA,NA,NA,208.7,0.143038386
X166B_166B_NSE727.NSE508,Ic212022,21,Intermittent,control,Ic,17,40,2022,96,10,16S,Biofilm ,0.730878833,53156421.36,8.314,396,9.48,9.3,133.7,497,15,580,4,3.5,338,91532,12.5,1622,38.5,9393,397,66062,798.5,NA,NA,NA,NA,208.7,0.143038386
X166C_166C_NSE727.NSE520,Ic212022,21,Intermittent,control,Ic,18,42,2022,96,10,16S,Biofilm ,1.093216889,23108802.31,8.314,396,9.48,9.3,133.7,497,15,580,4,3.5,338,91532,12.5,1622,38.5,9393,397,66062,798.5,NA,NA,NA,NA,208.7,0.143038386
A14_A14_N718.N508,Ic22021,2,Intermittent,control,Ic,16,27,2021,8,NA,16S,Biofilm ,0.060795083,5872059.34,8.394,359,9.89,9.2,9.6,NA,0.011,0.2305,0.0005,0.002,0.2865,78.4475,NA,1.107,NA,8.341,0.2435,61.0565,0.725,NA,NA,NA,NA,150.33,
B14_B14_N723.N508,Ic22021,2,Intermittent,control,Ic,17,27,2021,8,NA,16S,Biofilm ,0.061694667,15070228.73,8.394,368,10.17,6,11.6,NA,0.011,0.2545,0.0015,0.002,0.299,81.817,NA,1.142,0.0055,8.468,0.252,62.335,0.728,NA,NA,NA,NA,134.33,
C22_C22_N726.N508,Ic22021,2,Intermittent,control,Ic,18,28,2021,8,NA,16S,Biofilm ,0.055185917,12406657.52,8.394,379,NA,7.7,33.6,NA,0.012,0.3305,0.003,0.0025,0.326,86.4145,NA,1.2845,0.009,8.7505,0.28,65.484,0.808,NA,NA,NA,NA,178.67,
X14A_14A_NSE718.NSE508,Ic22022,2,Intermittent,control,Ic,16,37,2022,10,NA,16S,Biofilm ,0.17952,9396753.247,8.332,284,9.72,8.2,22.5,378,9,177.5,0,1,322.5,51763.5,8,933,16.5,6210,196,47208,497,NA,NA,NA,NA,113.4,0.14183774
X14B_14B_NSE718.NSE508,Ic22022,2,Intermittent,control,Ic,17,39,2022,10,NA,16S,Biofilm ,0.10216,5901362.835,8.332,284,9.72,8.2,22.5,378,9,177.5,0,1,322.5,51763.5,8,933,16.5,6210,196,47208,497,NA,NA,NA,NA,113.4,0.14183774
X14C_14C_NSE718.NSE520,Ic22022,2,Intermittent,control,Ic,18,41,2022,10,NA,16S,Biofilm ,0.18492,4662417.829,8.332,284,9.72,8.2,22.5,378,9,177.5,0,1,322.5,51763.5,8,933,16.5,6210,196,47208,497,NA,NA,NA,NA,113.4,0.14183774
X174A_174A_NSE728.NSE508,Ic222022,22,Intermittent,control,Ic,16,38,2022,103,17,16S,Biofilm ,0.647199944,48034920.63,8.473,442,10.88,2.7,7.6,524,14.5,631,3,3.5,352.5,104107,14.5,1818,13.5,10373,366,73904,870.5,NA,NA,NA,NA,175,0.135577775
X174B_174B_NSE728.NSE508,Ic222022,22,Intermittent,control,Ic,17,40,2022,103,17,16S,Biofilm ,0.843026889,50037012.99,8.473,442,10.88,2.7,7.6,524,14.5,631,3,3.5,352.5,104107,14.5,1818,13.5,10373,366,73904,870.5,NA,NA,NA,NA,175,0.135577775
X174C_174C_NSE728.NSE520,Ic222022,22,Intermittent,control,Ic,18,42,2022,103,17,16S,Biofilm ,0.788663833,40952380.95,8.473,442,10.88,2.7,7.6,524,14.5,631,3,3.5,352.5,104107,14.5,1818,13.5,10373,366,73904,870.5,NA,NA,NA,NA,175,0.135577775
A22_A22_N719.N508,Ic32021,3,Intermittent,control,Ic,16,27,2021,11,NA,16S,Biofilm ,0.070796333,1650463.97,8.437,360,9.83,6.9,9.2,NA,0.011,0.275,0.001,0.002,0.288,78.6775,NA,1.1085,0.0335,8.338,0.244,61.1495,0.7365,NA,NA,NA,NA,212.33,
B22_B22_N724.N508,Ic32021,3,Intermittent,control,Ic,17,27,2021,11,NA,16S,Biofilm ,0.133185083,11324094.12,8.437,372,8.99,12.4,14.8,NA,0.011,0.27,0.002,0.002,0.266,83.7955,NA,1.191,0.0125,8.72,0.2935,63.753,0.8065,NA,NA,NA,NA,186.33,
C30_C30_N727.N508,Ic32021,3,Intermittent,control,Ic,18,28,2021,11,NA,16S,Biofilm ,0.081273833,6487279.045,8.437,379,NA,7.7,33.6,NA,0.012,0.3305,0.003,0.0025,0.326,86.4145,NA,1.2845,0.009,8.7505,0.28,65.484,0.808,NA,NA,NA,NA,178.67,
X22A_22A_NSE719.NSE508,Ic32022,3,Intermittent,control,Ic,16,37,2022,14,NA,16S,Biofilm ,0.247961333,10662987.01,8.286,312,10.22,7,16.2,419,10,205.5,0,2.5,337.5,61866.5,7.5,1015.5,9,7036.5,226.5,52562,649,NA,NA,NA,NA,110.7,0.127176284
X22B_22B_NSE719.NSE508,Ic32022,3,Intermittent,control,Ic,17,39,2022,14,NA,16S,Biofilm ,0.251877167,11837734.49,8.286,312,10.22,7,16.2,419,10,205.5,0,2.5,337.5,61866.5,7.5,1015.5,9,7036.5,226.5,52562,649,NA,NA,NA,NA,110.7,0.127176284
X22C_22C_NSE719.NSE520,Ic32022,3,Intermittent,control,Ic,18,41,2022,14,NA,16S,Biofilm ,0.176700222,13348917.75,8.286,312,10.22,7,16.2,419,10,205.5,0,2.5,337.5,61866.5,7.5,1015.5,9,7036.5,226.5,52562,649,NA,NA,NA,NA,110.7,0.127176284
A30_A30_N720.N508,Ic42021,4,Intermittent,control,Ic,16,27,2021,16,NA,16S,Biofilm ,0.13244425,3071673.064,8.361,368,10.09,7.6,13.8,NA,0.011,0.257,0.0015,0.0025,0.2985,81.9025,NA,1.155,NA,8.5185,0.2525,62.7055,0.711,NA,NA,NA,NA,150,
B30_B30_N726.N508,Ic42021,4,Intermittent,control,Ic,17,27,2021,16,NA,16S,Biofilm ,0.168586333,11438521.44,8.361,373,9.04,10.6,15.4,NA,0.0115,0.271,0.003,0.0025,0.267,84.527,NA,1.1875,0.008,8.6985,0.2695,63.634,0.747,NA,NA,NA,NA,170.67,
C38_C38_N728.N508,Ic42021,4,Intermittent,control,Ic,18,28,2021,16,NA,16S,Biofilm ,0.169062583,2786909.43,8.361,363,9.42,8.8,165.2,NA,0.013,0.408,0.004,0.0015,0.3645,88.4185,NA,1.1755,0.008,8.2075,0.358,62.858,0.7605,NA,NA,NA,NA,884,
X30A_30A_NSE720.NSE508,Ic42022,4,Intermittent,control,Ic,16,37,2022,19,NA,16S,Biofilm ,0.672882167,11507142.86,8.13,314,10.9,6.9,24.9,445,11,214.5,2.5,2,419.5,61661,8.5,1031,9,6980,228,52482,603,NA,NA,NA,NA,159,0.131835273
X30B_30B_NSE720.NSE508,Ic42022,4,Intermittent,control,Ic,17,39,2022,19,NA,16S,Biofilm ,0.595341611,10457431.46,8.13,314,10.9,6.9,24.9,445,11,214.5,2.5,2,419.5,61661,8.5,1031,9,6980,228,52482,603,NA,NA,NA,NA,159,0.131835273
X30C_30C_NSE720.NSE520,Ic42022,4,Intermittent,control,Ic,18,41,2022,19,NA,16S,Biofilm ,0.376936889,13605844.16,8.13,314,10.9,6.9,24.9,445,11,214.5,2.5,2,419.5,61661,8.5,1031,9,6980,228,52482,603,NA,NA,NA,NA,159,0.131835273
B38_B38_N720.N508,Ic52021,5,Intermittent,control,Ic,17,28,2021,21,1,16S,Biofilm ,0.043173833,11119694.67,8.447,373,9.04,10.6,15.4,NA,0.0115,0.271,0.003,0.0025,0.267,84.527,NA,1.1875,0.008,8.6985,0.2695,63.634,0.747,NA,NA,NA,NA,170.67,
C46_C46_N729.N508,Ic52021,5,Intermittent,control,Ic,18,28,2021,21,1,16S,Biofilm ,0.115987167,14350605.26,8.447,352,9.56,8.8,292.8,NA,0.0135,0.4025,0.0025,0.0025,0.365,93.478,NA,1.197,0.0165,8.3885,0.36,65.2145,0.838,NA,NA,NA,NA,462,
R1006.16S_R1006.16S_N719.N508,Ic52021,5,Intermittent,control,Ic,16,26,2021,21,1,16S,Biofilm ,0.056614667,9964210.21,8.447,397,10.14,8.3,19.2,NA,0.0145,0.392,0.0015,0.002,0.327,92.6635,NA,1.365,0.0165,9.235,0.318,67.54,0.79,NA,NA,NA,NA,150.67,
X38A_38A_NSE721.NSE508,Ic52022,5,Intermittent,control,Ic,16,37,2022,24,1,16S,Biofilm ,0.693308,20031024.53,8.282,336,10,8.5,35.9,426,11,240,3.5,2,368.5,70182,7.5,1105.5,12,7593.5,209.5,56332,620,NA,NA,NA,NA,160,0.093794874
X38B_38B_NSE721.NSE508,Ic52022,5,Intermittent,control,Ic,17,39,2022,24,1,16S,Biofilm ,0.928646056,15167099.57,8.282,336,10,8.5,35.9,426,11,240,3.5,2,368.5,70182,7.5,1105.5,12,7593.5,209.5,56332,620,NA,NA,NA,NA,160,0.093794874
X38C_38C_NSE721.NSE520,Ic52022,5,Intermittent,control,Ic,18,41,2022,24,1,16S,Biofilm ,0.8587255,17265221.66,8.282,336,10,8.5,35.9,426,11,240,3.5,2,368.5,70182,7.5,1105.5,12,7593.5,209.5,56332,620,NA,NA,NA,NA,160,0.093794874
B46_B46_N721.N508,Ic62021,6,Intermittent,control,Ic,17,28,2021,25,5,16S,Biofilm ,0.0465605,1672589.48,8.461,387,10.08,7.8,11.6,NA,0.012,0.2915,0.0035,0.0015,0.3025,86.9325,NA,1.233,NA,8.829,0.263,65.435,0.76,NA,NA,NA,NA,119.33,
C43_C43_N728.N505,Ic62021,6,Intermittent,control,Ic,18,29,2021,25,5,16S,Biofilm ,0.044973,679962.6824,8.461,352,9.56,8.8,292.8,NA,0.0135,0.4025,0.0025,0.0025,0.365,93.478,NA,1.197,0.0165,8.3885,0.36,65.2145,0.838,NA,NA,NA,NA,462,
R1014.16S_R1014.16S_N720.N508,Ic62021,6,Intermittent,control,Ic,16,26,2021,25,5,16S,Biofilm ,0.043597167,1604124.58,8.461,397,10.02,6.6,21,NA,0.015,0.3875,0.0015,0.002,0.3335,92.8185,NA,1.3575,0.0095,9.1895,0.305,67.244,0.7985,NA,NA,NA,NA,200.67,
X46A_46A_NSE722.NSE508,Ic62022,6,Intermittent,control,Ic,16,37,2022,26,3,16S,Biofilm ,0.9660405,15756204.91,8.277,348,10.56,6.5,18.2,335,11.5,250.5,0,2,351.5,73534.5,11,1125.5,11,7903.5,242,58692.5,675,4.66,12.29,476.12,1.07,102.7,0.107656504
X46B_46B_NSE722.NSE508,Ic62022,6,Intermittent,control,Ic,17,39,2022,26,3,16S,Biofilm ,0.663039667,15254545.45,8.277,348,10.56,6.5,18.2,335,11.5,250.5,0,2,351.5,73534.5,11,1125.5,11,7903.5,242,58692.5,675,4.66,12.29,476.12,1.07,102.7,0.107656504
X46C_46C_NSE722.NSE520,Ic62022,6,Intermittent,control,Ic,18,41,2022,26,3,16S,Biofilm ,0.747812167,20395165.95,8.277,348,10.56,6.5,18.2,335,11.5,250.5,0,2,351.5,73534.5,11,1125.5,11,7903.5,242,58692.5,675,4.66,12.29,476.12,1.07,102.7,0.107656504
B54_B54_N722.N508,Ic72021,7,Intermittent,control,Ic,17,28,2021,30,10,16S,Biofilm ,0.064710917,8021854.77,8.384,387,10.44,5.6,13,NA,0.012,0.2965,0.003,0.0005,0.3085,88.4805,NA,1.2605,0.005,8.9275,0.273,66.2205,0.7915,NA,NA,NA,NA,123.33,
C51_C51_N729.N505,Ic72021,7,Intermittent,control,Ic,18,29,2021,30,10,16S,Biofilm ,0.083443417,14195013.63,8.384,385,10.66,4.4,NA,NA,0.015,0.365,0.002,0.003,0.3345,86.814,NA,1.3275,0.012,8.9145,0.3265,66.3835,0.8095,NA,NA,NA,NA,171.33,
R1022.16S_R1022.16S_N726.N508,Ic72021,7,Intermittent,control,Ic,16,26,2021,30,10,16S,Biofilm ,0.08958175,7493083.61,8.384,397,10.02,6.6,21,NA,0.015,0.3875,0.0015,0.002,0.3335,92.8185,NA,1.3575,0.0095,9.1895,0.305,67.244,0.7985,NA,NA,NA,NA,200.67,
X54A_54A_NSE723.NSE508,Ic72022,7,Intermittent,control,Ic,16,37,2022,28,5,16S,Biofilm ,0.959161333,14714277.7,8.404,356,10.27,7.6,28,441,11,262.5,2.5,1.5,329.5,75601.5,8.5,1162.5,14,8066,257,59678,677.5,NA,NA,NA,NA,110.3,0.104943099
X54B_54B_NSE723.NSE508,Ic72022,7,Intermittent,control,Ic,17,39,2022,28,5,16S,Biofilm ,0.936724667,16248603.09,8.404,356,10.27,7.6,28,441,11,262.5,2.5,1.5,329.5,75601.5,8.5,1162.5,14,8066,257,59678,677.5,NA,NA,NA,NA,110.3,0.104943099
X54C_54C_NSE723.NSE520,Ic72022,7,Intermittent,control,Ic,18,41,2022,28,5,16S,Biofilm ,1.077271333,13910371.57,8.404,356,10.27,7.6,28,441,11,262.5,2.5,1.5,329.5,75601.5,8.5,1162.5,14,8066,257,59678,677.5,NA,NA,NA,NA,110.3,0.104943099
C59_C59_N711.N505,Ic82021,8,Intermittent,control,Ic,18,29,2021,36,2,16S,Biofilm ,0.175412583,13042741.92,8.459,385,10.6,4.5,NA,NA,0.015,0.367,0.001,0.002,0.342,86.839,NA,1.319,0.0125,8.737,0.3185,65.108,0.789,NA,NA,NA,NA,170.67,
C6_C6_N723.N508,Ic82021,8,Intermittent,control,Ic,17,28,2021,36,2,16S,Biofilm ,0.175677167,13565185.91,8.459,385,10.6,4.5,NA,NA,0.015,0.367,0.001,0.002,0.342,86.839,NA,1.319,0.0125,8.737,0.3185,65.108,0.789,NA,NA,NA,NA,170.67,
R1030.16S_R1030.16S_N727.N508,Ic82021,8,Intermittent,control,Ic,16,26,2021,36,2,16S,Biofilm ,0.16260675,4564183.5,8.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
